cell_id,sector_name,latitude,longitude,prospectivity_score,confidence_score,ore_grade_pct,exploration_priority_rank,ndvi,lst_celsius,soil_moisture_pct,elevation_m,slope_deg,iron_oxide_index,clay_alteration_index,fault_distance_km
Zone-M236,Balaghat Belt (MP),22.22882,79.93609,83.3,93.5,39.6,PRIORITY-1 (Tier A),0.132,38.4,23.1,660.7,11.4,2.487,1.423,4.8
Zone-M106,Keonjhar-Bonai Belt (Odisha),22.11564,85.8425,83.1,85.5,37.7,PRIORITY-1 (Tier A),0.355,38.7,37.5,574.6,13.9,2.898,1.841,1.1
Zone-M373,Bhandara-Nagpur Corridor (MH),20.96222,79.10344,83.1,88.8,38.7,PRIORITY-1 (Tier A),0.272,32.2,52.3,274.6,22.7,3.236,1.997,1.2
Zone-M338,Keonjhar-Bonai Belt (Odisha),21.88346,85.48527,82.9,91.5,38.9,PRIORITY-1 (Tier A),0.336,40.4,38.2,510.9,7.1,2.795,2.275,4.4
Zone-M464,Balaghat Belt (MP),21.78233,79.94835,82.8,89.3,38.1,PRIORITY-1 (Tier A),0.133,34.3,38.1,482.6,10.6,2.463,1.36,5.6
Zone-M431,Sandur Basin (Karnataka),15.04133,76.66923,82.7,94.1,37.9,PRIORITY-1 (Tier A),0.432,32.4,49.3,280.6,18.1,3.358,2.217,4.1
Zone-M430,Keonjhar-Bonai Belt (Odisha),21.95015,84.96974,82.7,88.1,38.7,PRIORITY-1 (Tier A),0.285,37.0,35.4,275.2,10.2,3.485,2.492,2.6
Zone-M325,Bhandara-Nagpur Corridor (MH),20.62308,78.79508,82.5,84.8,38.9,PRIORITY-1 (Tier A),0.392,32.1,32.8,230.1,10.0,2.856,1.284,7.3
Zone-M476,Balaghat Belt (MP),21.78886,80.63111,82.4,89.2,40.6,PRIORITY-1 (Tier A),0.41,30.9,48.1,476.5,5.1,3.841,1.969,4.6
Zone-M149,Bhandara-Nagpur Corridor (MH),21.79386,80.33024,82.4,86.3,40.7,PRIORITY-1 (Tier A),0.227,34.0,35.3,331.5,6.3,3.082,1.633,8.5
Zone-M220,Balaghat Belt (MP),21.90359,80.30868,82.2,85.0,37.2,PRIORITY-1 (Tier A),0.253,30.4,42.8,379.2,23.5,3.146,2.434,2.5
Zone-M104,Balaghat Belt (MP),22.06846,80.24855,82.2,88.9,39.7,PRIORITY-1 (Tier A),0.21,39.6,29.3,349.2,14.9,2.096,2.403,1.8
Zone-M512,Balaghat Belt (MP),21.45804,80.32407,82.1,92.2,37.8,PRIORITY-1 (Tier A),0.254,36.3,19.3,227.8,22.2,2.366,2.43,14.0
Zone-M392,Balaghat Belt (MP),21.66373,79.36968,82.1,90.9,35.4,PRIORITY-1 (Tier A),0.178,32.1,41.6,664.0,5.0,3.67,2.065,8.2
Zone-M186,Keonjhar-Bonai Belt (Odisha),22.45449,85.2737,82.1,87.4,35.5,PRIORITY-1 (Tier A),0.449,34.0,33.1,295.3,19.9,3.257,1.531,1.9
Zone-M541,Bhandara-Nagpur Corridor (MH),20.96904,79.71338,82.1,90.6,36.7,PRIORITY-1 (Tier A),0.305,30.4,22.9,366.7,15.9,2.241,1.374,13.6
Zone-M257,Bhandara-Nagpur Corridor (MH),20.75213,80.00038,81.8,91.0,37.7,PRIORITY-2 (Tier B),0.157,34.3,33.4,617.7,14.9,2.599,2.665,2.3
Zone-M133,Bhandara-Nagpur Corridor (MH),21.54676,79.97376,81.7,88.7,38.7,PRIORITY-2 (Tier B),0.214,40.2,23.9,663.1,4.2,3.837,1.265,12.6
Zone-M433,Bhandara-Nagpur Corridor (MH),20.86474,80.6138,81.7,92.9,38.2,PRIORITY-2 (Tier B),0.155,39.7,41.8,540.6,11.3,3.646,2.288,2.3
Zone-M108,Balaghat Belt (MP),22.13039,80.3115,81.6,95.2,37.9,PRIORITY-2 (Tier B),0.298,39.3,50.8,366.3,6.2,2.279,1.841,11.6
Zone-M322,Keonjhar-Bonai Belt (Odisha),21.52366,85.40539,81.6,93.2,39.3,PRIORITY-2 (Tier B),0.125,31.5,23.6,344.6,9.0,1.931,1.888,10.5
Zone-M192,Balaghat Belt (MP),22.43919,80.43634,81.4,86.1,37.7,PRIORITY-2 (Tier B),0.155,36.9,43.3,234.5,22.7,1.909,2.012,10.2
Zone-M212,Balaghat Belt (MP),21.37465,79.90284,81.3,94.3,37.0,PRIORITY-2 (Tier B),0.26,37.3,18.8,507.0,13.0,3.032,1.452,10.5
Zone-M154,Keonjhar-Bonai Belt (Odisha),21.08464,85.7575,81.3,91.8,39.5,PRIORITY-2 (Tier B),0.296,40.5,46.5,289.8,10.2,2.322,2.316,1.2
Zone-M545,Bhandara-Nagpur Corridor (MH),21.56626,78.86836,81.1,86.2,37.0,PRIORITY-2 (Tier B),0.245,39.8,40.8,519.3,21.3,3.677,2.58,2.1
Zone-M210,Keonjhar-Bonai Belt (Odisha),21.30788,85.21015,81.1,86.3,40.5,PRIORITY-2 (Tier B),0.293,37.9,19.3,481.0,9.1,3.822,1.925,11.4
Zone-M356,Balaghat Belt (MP),22.35701,80.0704,81.0,95.9,39.2,PRIORITY-2 (Tier B),0.178,35.9,38.2,445.2,16.9,2.283,2.029,5.7
Zone-M249,Bhandara-Nagpur Corridor (MH),21.12047,79.34094,81.0,90.2,36.9,PRIORITY-2 (Tier B),0.155,37.2,47.9,395.0,19.5,3.825,1.506,7.7
Zone-M471,Sandur Basin (Karnataka),14.8066,76.12345,80.9,95.6,37.1,PRIORITY-2 (Tier B),0.188,39.2,44.5,249.3,11.7,2.394,1.657,13.8
Zone-M164,Balaghat Belt (MP),21.38226,80.4652,80.8,93.0,39.2,PRIORITY-2 (Tier B),0.402,39.6,30.9,527.3,8.1,2.416,2.545,1.0
Zone-M247,Sandur Basin (Karnataka),14.94549,77.2535,80.8,90.8,40.5,PRIORITY-2 (Tier B),0.141,35.2,47.3,431.3,5.0,3.451,1.502,4.2
Zone-M126,Keonjhar-Bonai Belt (Odisha),22.70987,84.51916,80.7,96.0,37.3,PRIORITY-2 (Tier B),0.419,30.7,17.8,266.4,4.4,1.998,2.225,1.7
Zone-M414,Keonjhar-Bonai Belt (Odisha),21.42734,84.78617,80.6,85.0,42.4,PRIORITY-2 (Tier B),0.121,37.4,40.7,409.0,13.8,2.672,1.236,5.2
Zone-M253,Bhandara-Nagpur Corridor (MH),20.88228,79.90051,80.4,90.8,37.7,PRIORITY-2 (Tier B),0.354,32.4,33.8,598.0,13.2,2.551,1.941,11.7
Zone-M321,Bhandara-Nagpur Corridor (MH),20.86339,79.59081,80.4,89.4,37.9,PRIORITY-2 (Tier B),0.205,34.1,43.9,224.2,15.8,3.088,2.157,4.0
Zone-M522,Keonjhar-Bonai Belt (Odisha),22.07329,85.2369,80.4,90.5,35.1,PRIORITY-2 (Tier B),0.148,41.8,41.7,351.3,15.7,2.03,2.649,3.1
Zone-M120,Balaghat Belt (MP),21.53951,80.08527,80.3,89.8,38.1,PRIORITY-2 (Tier B),0.299,32.0,38.6,234.0,4.7,3.527,1.74,2.5
Zone-M404,Balaghat Belt (MP),21.56184,80.9613,80.3,94.2,37.9,PRIORITY-2 (Tier B),0.43,37.1,53.2,289.7,13.5,3.064,2.073,6.1
Zone-M191,Sandur Basin (Karnataka),15.80061,76.54209,80.3,84.1,34.9,PRIORITY-2 (Tier B),0.228,35.2,18.5,381.3,4.7,1.965,1.795,2.6
Zone-M374,Keonjhar-Bonai Belt (Odisha),20.63025,85.0367,80.2,96.1,40.0,PRIORITY-2 (Tier B),0.306,38.0,17.7,412.1,6.3,3.087,2.608,9.5
Zone-M451,Sandur Basin (Karnataka),15.19437,76.50243,80.1,95.0,35.3,PRIORITY-2 (Tier B),0.136,31.6,33.6,324.4,18.9,3.73,1.836,5.3
Zone-M440,Balaghat Belt (MP),21.92273,80.17556,80.1,90.7,36.6,PRIORITY-2 (Tier B),0.447,40.0,18.9,544.9,10.9,1.815,1.805,3.9
Zone-M173,Bhandara-Nagpur Corridor (MH),21.40192,79.70622,80.0,96.1,38.5,PRIORITY-2 (Tier B),0.432,34.6,49.5,608.5,10.4,3.541,1.256,8.7
Zone-M174,Keonjhar-Bonai Belt (Odisha),21.55448,85.17633,80.0,88.2,39.0,PRIORITY-2 (Tier B),0.359,28.9,27.6,468.2,19.8,2.469,2.139,12.5
Zone-M179,Sandur Basin (Karnataka),14.96798,76.13925,80.0,85.9,36.1,PRIORITY-2 (Tier B),0.389,31.1,24.0,467.0,15.9,3.018,1.337,12.4
Zone-M523,Sandur Basin (Karnataka),14.70259,76.80606,80.0,92.4,36.7,PRIORITY-2 (Tier B),0.323,40.5,18.1,372.2,9.0,3.875,1.784,10.5
Zone-M292,Balaghat Belt (MP),21.50562,80.63017,79.9,92.9,34.9,PRIORITY-2 (Tier B),0.186,40.5,26.5,389.2,5.2,2.034,1.974,4.3
Zone-M268,Balaghat Belt (MP),21.86903,80.35678,79.9,91.4,35.3,PRIORITY-2 (Tier B),0.123,36.9,51.5,501.8,21.5,3.32,1.381,12.7
Zone-M239,Sandur Basin (Karnataka),15.41477,76.32276,79.9,90.5,36.8,PRIORITY-2 (Tier B),0.265,30.1,28.1,419.6,5.8,2.263,2.097,10.5
Zone-M534,Keonjhar-Bonai Belt (Odisha),21.63048,85.14005,79.8,86.1,37.5,PRIORITY-2 (Tier B),0.272,32.3,16.4,368.6,14.9,2.959,1.735,6.7
Zone-M515,Sandur Basin (Karnataka),15.29766,76.59784,79.8,89.6,38.0,PRIORITY-2 (Tier B),0.354,38.2,22.0,386.2,16.7,1.948,1.742,7.9
Zone-M286,Keonjhar-Bonai Belt (Odisha),22.56023,85.79558,79.8,87.0,38.9,PRIORITY-2 (Tier B),0.356,39.5,47.2,474.2,14.4,2.1,2.363,4.4
Zone-M428,Balaghat Belt (MP),22.47422,79.80084,79.7,89.1,36.5,PRIORITY-2 (Tier B),0.209,30.8,46.3,638.3,11.4,3.378,2.545,12.0
Zone-M427,Sandur Basin (Karnataka),15.38131,76.30481,79.7,96.1,35.9,PRIORITY-2 (Tier B),0.25,29.8,41.9,555.5,15.5,2.234,1.957,4.9
Zone-M505,Bhandara-Nagpur Corridor (MH),21.34407,79.83896,79.7,87.9,40.5,PRIORITY-2 (Tier B),0.436,28.5,38.2,296.6,18.2,2.169,1.553,7.3
Zone-M342,Keonjhar-Bonai Belt (Odisha),21.90734,84.67408,79.6,88.0,38.4,PRIORITY-2 (Tier B),0.416,40.4,28.0,634.4,23.9,3.533,2.467,4.1
Zone-M399,Sandur Basin (Karnataka),14.94214,75.94166,79.5,86.5,37.2,PRIORITY-2 (Tier B),0.161,41.5,19.3,440.1,15.7,2.937,1.329,1.6
Zone-M547,Sandur Basin (Karnataka),15.72351,76.86314,79.3,86.7,36.9,PRIORITY-2 (Tier B),0.16,39.9,21.3,668.4,20.9,2.852,2.672,2.1
Zone-M518,Keonjhar-Bonai Belt (Odisha),21.77514,85.17614,79.3,84.1,43.2,PRIORITY-2 (Tier B),0.259,38.1,32.7,556.8,8.7,3.508,2.083,3.6
Zone-M398,Keonjhar-Bonai Belt (Odisha),21.23099,85.75493,79.2,85.6,39.5,PRIORITY-2 (Tier B),0.311,37.7,43.0,566.6,21.5,2.85,2.295,9.0
Zone-M485,Bhandara-Nagpur Corridor (MH),20.21057,79.89839,79.2,94.8,36.8,PRIORITY-2 (Tier B),0.166,36.0,49.7,488.2,18.4,2.581,1.339,6.8
Zone-M513,Bhandara-Nagpur Corridor (MH),20.92037,79.29577,79.1,95.4,37.5,PRIORITY-2 (Tier B),0.286,39.1,20.4,669.6,23.3,2.144,1.649,2.1
Zone-M529,Bhandara-Nagpur Corridor (MH),20.7931,79.80024,79.1,84.9,36.6,PRIORITY-2 (Tier B),0.327,31.5,47.1,596.2,23.6,2.854,1.882,10.7
Zone-M328,Balaghat Belt (MP),21.84006,79.29228,78.9,90.9,39.2,PRIORITY-2 (Tier B),0.286,30.7,49.4,531.4,20.8,3.603,2.323,6.6
Zone-M382,Keonjhar-Bonai Belt (Odisha),20.89079,85.82732,78.8,84.1,38.3,PRIORITY-2 (Tier B),0.38,32.3,16.6,490.6,12.0,3.845,2.016,4.4
Zone-M370,Keonjhar-Bonai Belt (Odisha),21.69478,85.33735,78.8,85.5,32.9,PRIORITY-2 (Tier B),0.444,31.0,17.7,493.6,18.8,1.868,2.188,7.8
Zone-M474,Keonjhar-Bonai Belt (Odisha),21.88845,84.86179,78.7,92.8,34.0,PRIORITY-2 (Tier B),0.256,35.1,15.3,538.2,17.2,1.881,1.752,13.7
Zone-M525,Bhandara-Nagpur Corridor (MH),21.04589,79.76375,78.7,91.7,38.5,PRIORITY-2 (Tier B),0.135,36.7,27.4,389.6,19.4,3.503,1.801,13.3
Zone-M194,Keonjhar-Bonai Belt (Odisha),21.45686,85.10645,78.5,96.2,36.6,PRIORITY-2 (Tier B),0.231,30.5,46.6,523.0,14.0,2.966,2.279,3.8
Zone-M272,Balaghat Belt (MP),22.26861,80.73827,78.4,89.1,37.7,PRIORITY-2 (Tier B),0.223,37.5,39.2,387.7,8.4,3.875,1.881,9.9
Zone-M123,Sandur Basin (Karnataka),15.36361,76.99324,78.4,91.6,34.2,PRIORITY-2 (Tier B),0.258,31.5,29.2,568.6,4.3,2.044,1.269,1.3
Zone-M117,Bhandara-Nagpur Corridor (MH),21.15343,79.59235,78.4,96.1,35.9,PRIORITY-2 (Tier B),0.438,39.9,26.8,397.1,21.0,2.466,1.454,8.1
Zone-M138,Keonjhar-Bonai Belt (Odisha),21.75236,85.31879,78.0,89.6,36.0,PRIORITY-2 (Tier B),0.163,41.4,39.2,325.2,17.4,3.098,1.737,2.3
Zone-M488,Balaghat Belt (MP),22.21578,80.56924,78.0,92.5,36.7,PRIORITY-2 (Tier B),0.141,36.3,44.6,317.0,20.8,1.864,2.466,6.9
Zone-M136,Balaghat Belt (MP),22.14265,79.94924,78.0,95.4,36.2,PRIORITY-2 (Tier B),0.391,41.3,44.0,502.2,12.4,3.759,2.499,1.4
Zone-M336,Balaghat Belt (MP),21.58762,79.70413,77.9,88.6,37.4,PRIORITY-2 (Tier B),0.273,38.1,41.3,546.0,4.2,2.257,2.193,7.2
Zone-M417,Bhandara-Nagpur Corridor (MH),20.94882,80.10272,77.8,91.2,34.0,PRIORITY-2 (Tier B),0.395,39.3,49.7,247.4,17.8,2.094,1.824,8.0
Zone-M340,Balaghat Belt (MP),21.57976,80.52181,77.8,95.7,35.3,PRIORITY-2 (Tier B),0.33,32.5,25.8,307.8,17.9,2.259,2.093,4.3
Zone-M129,Bhandara-Nagpur Corridor (MH),20.97258,80.04864,77.8,84.1,35.4,PRIORITY-2 (Tier B),0.419,29.3,27.8,657.0,23.0,3.004,2.148,6.7
Zone-M197,Bhandara-Nagpur Corridor (MH),21.58058,79.97635,77.7,95.4,38.3,PRIORITY-2 (Tier B),0.179,31.3,53.9,303.2,21.1,2.834,1.571,12.3
Zone-M231,Sandur Basin (Karnataka),15.51669,77.17975,77.7,92.2,35.9,PRIORITY-2 (Tier B),0.162,32.7,52.1,323.3,11.4,2.707,1.859,8.9
Zone-M216,Balaghat Belt (MP),22.3954,80.34761,77.6,91.0,37.1,PRIORITY-2 (Tier B),0.436,30.5,42.6,312.4,14.7,2.003,1.876,10.8
Zone-M134,Keonjhar-Bonai Belt (Odisha),21.85084,85.30504,77.6,96.1,38.4,PRIORITY-2 (Tier B),0.293,36.8,42.8,429.1,16.6,3.027,2.552,1.4
Zone-M508,Balaghat Belt (MP),22.04022,80.15219,77.5,86.4,34.9,PRIORITY-2 (Tier B),0.22,29.3,20.8,268.1,12.5,3.471,1.412,2.5
Zone-M397,Bhandara-Nagpur Corridor (MH),21.04948,79.38999,77.5,90.6,36.4,PRIORITY-2 (Tier B),0.408,41.9,38.3,593.7,10.5,2.442,1.804,9.7
Zone-M418,Keonjhar-Bonai Belt (Odisha),21.97624,84.30269,77.2,85.7,33.7,PRIORITY-2 (Tier B),0.172,41.3,50.2,637.2,23.8,2.237,1.733,9.6
Zone-M402,Keonjhar-Bonai Belt (Odisha),21.28813,85.792,77.2,93.5,33.7,PRIORITY-2 (Tier B),0.27,33.8,52.4,335.4,6.4,3.028,2.654,5.8
Zone-M144,Balaghat Belt (MP),22.02496,80.483,77.2,88.6,37.9,PRIORITY-2 (Tier B),0.28,36.7,29.8,432.8,18.9,1.877,1.579,10.2
Zone-M531,Sandur Basin (Karnataka),15.15521,76.26581,77.1,86.9,37.8,PRIORITY-2 (Tier B),0.331,31.3,43.5,621.9,6.5,3.62,2.09,2.5
Zone-M442,Keonjhar-Bonai Belt (Odisha),20.81599,85.26557,77.1,87.7,37.3,PRIORITY-2 (Tier B),0.226,30.3,46.3,276.3,16.7,2.06,1.306,12.8
Zone-M446,Keonjhar-Bonai Belt (Odisha),21.57104,84.82639,77.1,96.3,36.2,PRIORITY-2 (Tier B),0.246,38.9,28.7,508.7,7.8,2.107,2.607,12.9
Zone-M288,Balaghat Belt (MP),22.09878,79.83315,77.1,88.5,37.3,PRIORITY-2 (Tier B),0.209,39.8,27.5,582.9,21.8,2.711,2.565,5.8
Zone-M226,Keonjhar-Bonai Belt (Odisha),21.74311,85.53172,77.0,89.7,38.5,PRIORITY-2 (Tier B),0.399,29.4,34.5,289.0,10.5,3.348,1.914,5.8
Zone-M107,Sandur Basin (Karnataka),14.65437,76.91487,76.9,87.1,36.6,PRIORITY-2 (Tier B),0.255,38.6,24.2,255.4,9.8,2.139,2.595,11.5
Zone-M121,Bhandara-Nagpur Corridor (MH),21.63932,79.70399,76.8,85.1,39.0,PRIORITY-2 (Tier B),0.137,35.4,36.6,513.2,18.5,3.849,1.974,5.1
Zone-M544,Balaghat Belt (MP),22.04482,80.42152,76.8,88.7,38.5,PRIORITY-2 (Tier B),0.17,39.2,43.3,307.6,11.3,2.022,2.142,2.4
Zone-M490,Keonjhar-Bonai Belt (Odisha),21.16168,84.66085,76.8,84.9,35.2,PRIORITY-2 (Tier B),0.225,31.7,35.2,577.8,21.2,3.574,1.74,9.9
Zone-M437,Bhandara-Nagpur Corridor (MH),21.42691,78.94766,76.7,95.5,36.5,PRIORITY-2 (Tier B),0.234,28.8,23.2,412.6,8.4,1.8,2.573,11.9
Zone-M201,Bhandara-Nagpur Corridor (MH),21.09811,79.21532,76.6,90.3,35.6,PRIORITY-2 (Tier B),0.134,30.1,54.5,664.0,4.1,3.799,2.159,12.3
Zone-M330,Keonjhar-Bonai Belt (Odisha),21.43069,84.7966,76.5,90.5,37.0,PRIORITY-2 (Tier B),0.321,31.4,17.3,399.9,8.7,2.261,2.64,8.9
Zone-M112,Balaghat Belt (MP),21.26727,80.20743,76.4,92.6,35.5,PRIORITY-2 (Tier B),0.248,41.1,20.5,376.9,6.3,3.742,2.516,4.2
Zone-M219,Sandur Basin (Karnataka),15.72672,76.15399,76.3,90.2,36.3,PRIORITY-2 (Tier B),0.447,39.9,23.3,648.1,6.3,3.517,1.771,12.4
Zone-M252,Balaghat Belt (MP),21.78213,80.36095,76.2,95.0,35.5,PRIORITY-2 (Tier B),0.261,30.3,15.5,477.5,14.5,3.311,2.535,1.8
Zone-M343,Sandur Basin (Karnataka),14.86781,76.59388,76.0,94.1,37.7,PRIORITY-2 (Tier B),0.403,42.0,24.7,238.6,12.2,2.073,1.234,5.6
Zone-M379,Sandur Basin (Karnataka),15.53229,76.30775,75.9,94.1,38.4,PRIORITY-2 (Tier B),0.432,33.6,46.3,342.3,23.8,1.854,2.105,9.5
Zone-M297,Bhandara-Nagpur Corridor (MH),20.92812,79.39892,75.9,93.8,38.0,PRIORITY-2 (Tier B),0.311,30.1,47.4,512.5,11.8,3.216,1.59,5.4
Zone-M362,Keonjhar-Bonai Belt (Odisha),21.72952,85.13031,75.7,91.6,35.4,PRIORITY-2 (Tier B),0.213,30.4,30.2,588.7,11.8,3.377,1.388,11.0
Zone-M421,Bhandara-Nagpur Corridor (MH),20.54883,79.70021,75.7,87.6,36.5,PRIORITY-2 (Tier B),0.362,28.3,38.4,653.1,7.5,2.79,1.337,9.1
Zone-M363,Sandur Basin (Karnataka),15.30622,76.1586,75.7,88.8,35.8,PRIORITY-2 (Tier B),0.142,28.3,48.1,461.4,19.5,2.292,1.718,1.2
Zone-M449,Bhandara-Nagpur Corridor (MH),20.78482,80.13177,75.7,87.0,37.1,PRIORITY-2 (Tier B),0.248,29.1,20.9,357.1,5.8,3.713,1.209,7.2
Zone-M139,Sandur Basin (Karnataka),15.1527,77.26659,75.5,94.7,33.0,PRIORITY-2 (Tier B),0.302,35.9,50.1,405.6,6.7,1.86,2.333,9.0
Zone-M193,Bhandara-Nagpur Corridor (MH),21.26584,79.93621,75.5,94.2,33.9,PRIORITY-2 (Tier B),0.146,40.5,36.9,596.0,13.0,3.152,1.99,10.5
Zone-M124,Balaghat Belt (MP),21.96534,80.48985,75.5,90.1,36.1,PRIORITY-2 (Tier B),0.276,30.4,32.4,403.3,16.3,3.134,1.268,5.7
Zone-M276,Balaghat Belt (MP),21.11725,80.47916,75.3,89.6,35.4,PRIORITY-2 (Tier B),0.327,34.8,31.1,677.2,21.6,3.109,2.054,9.0
Zone-M393,Bhandara-Nagpur Corridor (MH),20.89261,79.65021,75.3,88.3,37.4,PRIORITY-2 (Tier B),0.423,33.7,20.7,548.8,9.9,2.903,2.247,12.7
Zone-M175,Sandur Basin (Karnataka),14.67516,76.75493,75.2,94.0,35.7,PRIORITY-2 (Tier B),0.449,32.9,45.7,404.9,13.6,3.118,2.511,13.8
Zone-M238,Keonjhar-Bonai Belt (Odisha),21.50166,86.32328,75.2,91.2,35.5,PRIORITY-2 (Tier B),0.305,35.8,39.1,531.2,20.1,2.367,2.438,7.4
Zone-M169,Bhandara-Nagpur Corridor (MH),21.56922,79.27881,75.1,90.0,39.1,PRIORITY-2 (Tier B),0.339,41.1,44.3,318.9,4.6,2.351,2.093,1.5
Zone-M102,Keonjhar-Bonai Belt (Odisha),21.78039,84.7301,75.1,91.6,35.6,PRIORITY-2 (Tier B),0.176,28.9,53.0,664.2,20.2,2.44,1.347,9.8
Zone-M137,Bhandara-Nagpur Corridor (MH),21.11644,79.53147,75.1,88.8,37.8,PRIORITY-2 (Tier B),0.44,39.8,48.5,435.6,12.3,2.374,1.285,12.2
Zone-M157,Bhandara-Nagpur Corridor (MH),21.19777,80.7603,74.9,94.9,35.6,PRIORITY-2 (Tier B),0.428,35.9,42.9,644.3,18.1,2.12,2.064,8.8
Zone-M273,Bhandara-Nagpur Corridor (MH),21.12529,79.1684,74.8,96.1,36.5,PRIORITY-2 (Tier B),0.247,28.5,16.2,398.5,7.2,1.849,2.334,6.9
Zone-M380,Balaghat Belt (MP),21.55464,80.32457,74.6,87.8,34.4,PRIORITY-2 (Tier B),0.3,33.8,21.4,298.6,12.4,3.39,2.547,1.9
Zone-M401,Bhandara-Nagpur Corridor (MH),21.25042,80.19033,74.5,92.0,32.9,PRIORITY-2 (Tier B),0.274,30.7,43.1,476.0,11.2,3.714,1.231,5.0
Zone-M332,Balaghat Belt (MP),21.4861,80.28215,74.4,92.7,36.2,PRIORITY-2 (Tier B),0.188,33.5,50.8,314.0,14.2,2.68,1.227,11.3
Zone-M424,Balaghat Belt (MP),21.83494,79.6626,74.3,89.0,37.1,PRIORITY-2 (Tier B),0.388,28.2,41.0,527.7,20.0,3.759,1.23,2.8
Zone-M229,Bhandara-Nagpur Corridor (MH),21.21583,79.45898,74.3,87.7,32.9,PRIORITY-2 (Tier B),0.235,38.8,41.5,305.2,7.5,2.007,2.19,10.9
Zone-M114,Keonjhar-Bonai Belt (Odisha),21.86272,85.43858,74.3,86.0,34.9,PRIORITY-2 (Tier B),0.417,36.5,15.4,266.7,17.3,1.811,1.441,8.0
Zone-M277,Bhandara-Nagpur Corridor (MH),20.99667,79.11415,74.1,90.8,36.4,PRIORITY-2 (Tier B),0.195,41.5,51.4,552.2,14.7,3.627,1.396,11.2
Zone-M315,Sandur Basin (Karnataka),14.77926,76.16437,74.0,88.2,38.1,PRIORITY-2 (Tier B),0.362,33.7,17.7,580.5,9.7,2.709,2.228,5.2
Zone-M323,Sandur Basin (Karnataka),15.56449,76.89898,73.9,94.3,34.3,PRIORITY-2 (Tier B),0.428,35.6,23.0,503.7,18.9,3.35,1.982,1.7
Zone-M183,Sandur Basin (Karnataka),14.87314,76.72323,73.8,90.3,34.4,PRIORITY-2 (Tier B),0.122,32.0,39.7,671.3,16.6,2.346,2.151,7.9
Zone-M150,Keonjhar-Bonai Belt (Odisha),21.72026,84.81559,73.8,88.2,35.1,PRIORITY-2 (Tier B),0.164,28.9,54.6,368.3,20.2,2.335,2.222,10.8
Zone-M461,Bhandara-Nagpur Corridor (MH),20.68807,79.68788,73.7,85.1,34.2,PRIORITY-2 (Tier B),0.264,37.2,32.5,347.3,15.2,2.529,2.599,13.0
Zone-M245,Bhandara-Nagpur Corridor (MH),20.78467,79.88816,73.7,96.2,30.5,PRIORITY-2 (Tier B),0.321,32.9,19.6,289.6,8.5,2.327,2.476,8.2
Zone-M318,Keonjhar-Bonai Belt (Odisha),21.84327,85.32774,73.7,84.9,34.8,PRIORITY-2 (Tier B),0.434,32.2,18.7,495.6,16.5,3.162,1.601,1.0
Zone-M429,Bhandara-Nagpur Corridor (MH),20.65738,79.16407,73.5,85.4,36.4,PRIORITY-2 (Tier B),0.202,32.4,47.4,622.7,10.0,3.603,2.486,10.9
Zone-M445,Bhandara-Nagpur Corridor (MH),21.39292,80.19622,73.4,85.1,37.2,PRIORITY-2 (Tier B),0.245,33.8,16.6,346.0,23.1,3.803,1.728,1.4
Zone-M211,Sandur Basin (Karnataka),14.90631,76.57229,73.3,91.5,34.6,PRIORITY-2 (Tier B),0.39,40.4,24.1,317.5,16.2,2.663,2.46,12.7
Zone-M524,Balaghat Belt (MP),21.44703,80.44615,73.2,89.1,36.7,PRIORITY-2 (Tier B),0.197,28.3,50.2,664.2,10.8,2.511,1.211,9.8
Zone-M335,Sandur Basin (Karnataka),14.99729,76.87924,73.1,84.8,34.7,PRIORITY-2 (Tier B),0.334,29.0,30.0,589.8,12.7,3.894,2.039,5.0
Zone-M517,Bhandara-Nagpur Corridor (MH),20.90536,79.36868,73.0,90.3,32.6,PRIORITY-2 (Tier B),0.174,41.4,49.1,617.3,12.1,3.401,1.416,0.9
Zone-M225,Bhandara-Nagpur Corridor (MH),21.13044,79.57679,72.9,87.2,34.7,PRIORITY-2 (Tier B),0.371,29.9,36.4,319.0,4.2,2.307,2.664,11.4
Zone-M259,Sandur Basin (Karnataka),15.3466,76.36564,72.9,85.4,35.5,PRIORITY-2 (Tier B),0.352,35.6,18.9,331.3,4.2,2.784,1.652,8.7
Zone-M263,Sandur Basin (Karnataka),15.00302,75.70904,72.8,91.5,34.4,PRIORITY-2 (Tier B),0.365,35.1,40.4,252.6,9.1,2.56,1.909,1.4
Zone-M475,Sandur Basin (Karnataka),15.09998,75.60037,72.6,91.3,33.7,PRIORITY-2 (Tier B),0.383,40.1,33.3,438.5,11.7,3.83,2.246,1.9
Zone-M468,Balaghat Belt (MP),21.47718,80.30741,72.6,95.4,35.8,PRIORITY-2 (Tier B),0.371,37.5,27.0,304.7,19.1,2.796,1.539,8.9
Zone-M221,Bhandara-Nagpur Corridor (MH),21.92876,79.52394,72.6,90.3,33.6,PRIORITY-2 (Tier B),0.252,30.0,29.7,251.4,4.5,2.084,2.645,8.1
Zone-M209,Bhandara-Nagpur Corridor (MH),21.07955,79.88229,72.5,87.2,36.3,PRIORITY-2 (Tier B),0.214,32.3,47.1,468.0,10.2,3.082,2.274,4.4
Zone-M222,Keonjhar-Bonai Belt (Odisha),21.71828,85.4946,72.5,89.5,38.3,PRIORITY-2 (Tier B),0.155,37.0,23.6,505.0,17.0,2.119,1.292,11.1
